,CRIM,RM,DIS,PTRATIO,LSTAT,GFK,MEDV
451,5.44114,6.655,2.3552,20.2,17.73,NO,15.2
452,5.09017,6.297,2.3682,20.2,17.27,NO,16.1
453,8.24809,7.393,2.4527,20.2,16.74,NO,17.8
454,9.51363,6.728,2.4961,20.2,18.71,NO,14.9
455,4.75237,6.525,2.4358,20.2,18.13,NO,14.1
456,4.66883,5.976,2.5806,20.2,19.01,NO,12.7
457,8.20058,5.936,2.7792,20.2,16.94,NO,13.5
458,7.75223,6.301,2.7831,20.2,16.23,NO,14.9
459,6.80117,6.081,2.7175,20.2,14.7,NO,20.0
460,4.81213,6.701,2.5975,20.2,16.42,NO,16.4
461,3.69311,6.376,2.5671,20.2,14.65,NO,17.7
462,6.65492,6.317,2.7344,20.2,13.99,NO,19.5
463,5.82115,6.513,2.8016,20.2,10.29,NO,20.2
464,7.83932,6.209,2.9634,20.2,13.22,NO,21.4
465,3.1636,5.759,3.0665,20.2,14.13,NO,19.9
466,3.77498,5.952,2.8715,20.2,17.15,NO,19.0
467,4.42228,6.003,2.5403,20.2,21.32,NO,19.1
468,15.5757,5.926,2.9084,20.2,18.13,NO,19.1
469,13.0751,5.713,2.8237,20.2,14.76,NO,20.1
470,4.34879,6.167,3.0334,20.2,16.29,NO,19.9
471,4.03841,6.229,3.0993,20.2,12.87,NO,19.6
472,3.56868,6.437,2.8965,20.2,14.36,NO,23.2
473,4.64689,6.98,2.5329,20.2,11.66,NO,29.8
474,8.05579,5.427,2.4298,20.2,18.14,NO,13.8
475,6.39312,6.162,2.206,20.2,24.1,NO,13.3
476,4.87141,6.484,2.3053,20.2,18.68,NO,16.7
477,15.0234,5.304,2.1007,20.2,24.91,NO,12.0
478,10.233,6.185,2.1705,20.2,18.03,NO,14.6
479,14.3337,6.229,1.9512,20.2,13.11,NO,21.4
480,5.82401,6.242,3.4242,20.2,10.74,NO,23.0
481,5.70818,6.75,3.3317,20.2,7.74,NO,23.7
482,5.73116,7.061,3.4106,20.2,7.01,NO,25.0
483,2.81838,5.762,4.0983,20.2,10.42,NO,21.8
484,2.37857,5.871,3.724,20.2,13.34,NO,20.6
485,3.67367,6.312,3.9917,20.2,10.58,NO,21.2
486,5.69175,6.114,3.5459,20.2,14.98,NO,19.1
487,4.83567,5.905,3.1523,20.2,11.45,NO,20.6
488,0.15086,5.454,1.8209,20.1,18.06,NO,15.2
489,0.18337,5.414,1.7554,20.1,23.97,NO,7.0
490,0.20746,5.093,1.8226,20.1,29.68,NO,8.1
491,0.10574,5.983,1.8681,20.1,18.07,NO,13.6
492,0.11132,5.983,2.1099,20.1,13.35,NO,20.1
493,0.17331,5.707,2.3817,19.2,12.01,YES,21.8
494,0.27957,5.926,2.3817,19.2,13.59,YES,24.5
495,0.17899,5.67,2.7986,19.2,17.6,YES,23.1
496,0.2896,5.39,2.7986,19.2,21.14,YES,19.7
497,0.26838,5.794,2.8927,19.2,14.1,YES,18.3
498,0.23912,6.019,2.4091,19.2,12.92,YES,21.2
499,0.17783,5.569,2.3999,19.2,15.1,YES,17.5
500,0.22438,6.027,2.4982,19.2,14.33,YES,16.8
501,0.06263,6.593,2.4786,21.0,9.67,NO,22.4
502,0.04527,6.12,2.2875,21.0,9.08,NO,20.6
503,0.06076,6.976,2.1675,21.0,5.64,NO,23.9
504,0.10959,6.794,2.3889,21.0,6.48,NO,22.0
505,0.04741,6.03,2.505,21.0,7.88,NO,11.9
